"","P607 - Nº Trabajadores","P639 - Años Funcionamiento","P640 - Método Contable","P978 - Smartphones","P1010 - Ingresos ($)","P1087 - PC Escritorio","P1088 - PC Portátil","P1559 - Redes Sociales","P2524 - Acceso a Internet","P2529 - Velocidad Internet","P2532 - Página Web","SECTOR - Sector Económico"
"25360",2,"1 a menos de 3 años","Otro tipo de cuentas",0,6600000,0,9,"No","No",NA,"No","Servicios"
"25361",1,"10 años o más","No lleva",0,7200000,0,0,"No","No",NA,"No","Comercio"
"25362",1,"10 años o más","No lleva",0,5e+07,0,0,"No","No",NA,"No","Comercio"
"25363",1,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Comercio"
"25364",1,"10 años o más","No lleva",0,1.44e+08,0,0,"No","No",NA,"No","Comercio"
"25365",1,"10 años o más","No lleva",0,8.4e+07,0,0,"No","No",NA,"No","Comercio"
"25366",1,"3 a menos de 5 años","Otro tipo de cuentas",0,6e+07,0,0,"No","No",NA,"No","Comercio"
"25367",2,"10 años o más","No lleva",0,13200000,0,0,"No","No",NA,"No","Industria"
"25368",1,"10 años o más","No lleva",0,57600000,0,0,"No","No",NA,"No","Comercio"
"25369",1,"10 años o más","No lleva",0,14400000,0,0,"No","No",NA,"No","Comercio"
"25370",2,"5 a menos de 10 años","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Comercio"
"25371",2,"10 años o más","P o G o Balance General",0,21600000,0,0,"No","No",NA,"No","Comercio"
"25372",1,"3 a menos de 5 años","No lleva",0,17400000,0,0,"No","No",NA,"No","Servicios"
"25373",3,"5 a menos de 10 años","Otro tipo de cuentas",0,9e+07,0,0,"No","No",NA,"No","Servicios"
"25374",4,"1 a menos de 3 años","Otro tipo de cuentas",0,3e+07,2,2,"No","Sí","4 MB o más","No","Servicios"
"25375",1,"3 a menos de 5 años","Libro de registro diario",0,4.8e+07,0,2,"No","No",NA,"No","Servicios"
"25376",1,"10 años o más","Otro tipo de cuentas",0,2e+07,1,0,"No","Sí","4 MB o más","No","Servicios"
"25377",2,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Industria"
"25378",1,"5 a menos de 10 años","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"25379",1,"10 años o más","No lleva",0,6e+06,0,0,"No","No",NA,"No","Comercio"
"25380",1,"1 a menos de 3 años","Otro tipo de cuentas",0,7.8e+07,0,0,"No","No",NA,"No","Comercio"
"25381",1,"10 años o más","No lleva",0,7.2e+07,0,0,"No","No",NA,"No","Comercio"
"25382",1,"1 a menos de 3 años","Otro tipo de cuentas",0,3e+07,0,0,"No","No",NA,"No","Comercio"
"25383",2,"3 a menos de 5 años","No lleva",0,3.5e+07,0,0,"No","No",NA,"No","Comercio"
"25384",5,"5 a menos de 10 años","No lleva",0,4.2e+07,1,0,"No","Sí","4 MB o más","No","Comercio"
"25385",2,"5 a menos de 10 años","Libro de registro diario",0,7.2e+07,0,1,"No","Sí","4 MB o más","No","Comercio"
"25386",1,"5 a menos de 10 años","No lleva",0,7200000,0,0,"No","No",NA,"No","Industria"
"25387",2,"10 años o más","P o G o Balance General",0,1e+08,0,0,"No","Sí","Entre 2 y menos de 4 MB","No","Comercio"
"25388",1,"10 años o más","No lleva",0,9600000,0,0,"No","No",NA,"No","Comercio"
"25389",8,"10 años o más","P o G o Balance General",0,2.4e+08,0,0,"No","Sí","4 MB o más","No","Industria"
"25390",1,"10 años o más","No lleva",0,7200000,0,0,"No","No",NA,"No","Comercio"
"25391",1,"10 años o más","Libro de registro diario",0,7200000,0,0,"No","No",NA,"No","Servicios"
"25392",1,"10 años o más","No lleva",0,2.28e+08,0,0,"No","No",NA,"No","Comercio"
"25393",1,"3 a menos de 5 años","No lleva",0,4e+06,0,1,"No","No",NA,"No","Industria"
"25394",4,"1 a menos de 3 años","Otro tipo de cuentas",0,1.8e+08,0,0,"No","No",NA,"No","Comercio"
"25395",3,"3 a menos de 5 años","Otro tipo de cuentas",0,2.2e+07,0,0,"No","No",NA,"No","Industria"
"25396",1,"10 años o más","Otro tipo de cuentas",0,6e+07,0,0,"No","No",NA,"No","Servicios"
"25397",3,"10 años o más","No lleva",1,6e+07,1,0,"Sí","Sí","4 MB o más","Sí","Industria"
"25398",3,"5 a menos de 10 años","Libro de registro diario",0,4.8e+07,0,0,"No","No",NA,"No","Comercio"
"25399",2,"10 años o más","Libro de registro diario",0,8e+07,1,0,"No","Sí","4 MB o más","No","Industria"
"25400",3,"5 a menos de 10 años","No lleva",0,4.8e+07,1,0,"Sí","Sí","4 MB o más","Sí","Comercio"
"25401",2,"1 a menos de 3 años","P o G o Balance General",0,3.6e+07,1,1,"No","Sí","4 MB o más","No","Industria"
"25402",2,"10 años o más","P o G o Balance General",0,1.44e+08,0,1,"No","Sí","4 MB o más","No","Comercio"
"25403",1,"1 a menos de 3 años","Otro tipo de cuentas",0,4.8e+07,0,0,"No","No",NA,"No","Servicios"
"25404",4,"1 a menos de 3 años","P o G o Balance General",0,4.8e+07,1,1,"No","Sí","4 MB o más","No","Servicios"
"25405",5,"5 a menos de 10 años","Libro de registro diario",0,9.6e+07,2,0,"Sí","Sí","4 MB o más","Sí","Servicios"
"25406",7,"5 a menos de 10 años","No lleva",0,1.7e+08,1,0,"No","Sí","4 MB o más","No","Servicios"
"25407",1,"10 años o más","No lleva",0,14400000,0,0,"No","No",NA,"No","Servicios"
"25408",2,"10 años o más","Libro de registro diario",0,7.2e+07,0,0,"No","No",NA,"No","Comercio"
"25409",3,"10 años o más","Libro de registro diario",0,4.92e+08,1,0,"No","Sí","4 MB o más","No","Comercio"
"25410",2,"1 a menos de 3 años","No lleva",2,3.6e+07,0,0,"No","Sí","Móvil 2G","No","Servicios"
"25411",1,"1 a menos de 3 años","P o G o Balance General",1,4.2e+07,0,0,"No","No",NA,"No","Industria"
"25412",4,"10 años o más","P o G o Balance General",0,9.6e+07,1,0,"No","Sí","4 MB o más","No","Comercio"
"25413",1,"5 a menos de 10 años","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"25414",2,"5 a menos de 10 años","No lleva",0,8400000,0,0,"No","Sí",NA,"No","Comercio"
"25415",2,"1 a menos de 3 años","No lleva",1,3.6e+07,0,0,"No","Sí","Móvil 4G","No","Comercio"
"25416",1,"10 años o más","No lleva",0,3e+06,0,0,"No","No",NA,"No","Servicios"
"25417",1,"10 años o más","No lleva",0,7200000,0,0,"No","No",NA,"No","Servicios"
"25418",2,"10 años o más","Otro tipo de cuentas",0,1.2e+07,0,0,"No","No",NA,"No","Servicios"
"25419",4,"10 años o más","Libro de registro diario",1,2.4e+08,2,0,"No","Sí","4 MB o más","No","Comercio"
"25420",1,"5 a menos de 10 años","No lleva",0,7800000,0,0,"No","No",NA,"No","Servicios"
"25421",1,"1 a menos de 3 años","No lleva",0,9500000,0,0,"No","No",NA,"No","Comercio"
"25422",2,"5 a menos de 10 años","Otro tipo de cuentas",0,93600000,0,0,"No","No",NA,"No","Comercio"
"25423",2,"10 años o más","No lleva",0,1.2e+07,0,0,"No","No",NA,"No","Servicios"
